SRIASupplierID,Name,VPManager,Crunchbase,Ticker,CompanyID,CreatedAt,UpdatedAt,State,Industry,EmployeeCount
452,"Digitonomy Limited (thimbl - Card partnership) - UK","Lucy-Marie Hagues",NULL,NULL,452,"2019-10-22 03:22:33","2022-01-10 19:05:08",NULL,"Advertising & Marketing","1 to 50 Employees"
454,"DINOVA LLC","Courtnee Smith",NULL,NULL,454,"2019-10-22 03:22:34","2022-01-10 19:05:09",NULL,"Upscale Restaurants","51 to 200 Employees"
455,"DIRECTIONS RESEARCH INC","Jim Martin",directions-research-inc,NULL,455,"2019-10-22 03:22:34","2022-01-11 04:08:48","OH  ","Advertising & Marketing","51 to 200 Employees"
456,"Ditech Financial LLC","Jim Gorzalski",walter-investment-management-corp,WAC,456,"2019-10-22 03:22:34","2022-01-11 06:22:46","PA  ",Lending,"1001 to 5000 Employees"
462,"Dobler Consulting Services","Jon Buckbee",dobler-consulting,NULL,462,"2019-10-22 03:22:34","2022-01-11 04:08:48",FL,"IT Services","51 to 200 Employees"
463,Docker,"Courtnee Smith",docker,NULL,463,"2019-10-22 03:22:34","2022-01-11 06:22:46","CA  ","Computer Hardware & Software","201 to 500 Employees"
464,DocuSign,"Courtnee Smith",docusign,DOCU,464,"2019-10-22 03:22:34","2022-01-11 04:05:34","CA  ","Computer Hardware & Software","5001 to 10000 Employees"
465,"Donnelley Financial LLC","Courtnee Smith",donnelley-financial-solutions,NULL,465,"2019-10-22 03:22:34","2022-01-11 06:22:45","IL  ","IT Services","1001 to 5000 Employees"
467,DSCOUT,"Jim Martin",dscout,NULL,467,"2019-10-22 03:22:34","2022-01-11 06:22:45",,Internet,"51 to 200 Employees"
469,"DUN & BRADSTREET","Jim Martin",dun-and-bradstreet-corporation,DNB,469,"2019-10-22 03:22:34","2022-01-11 04:02:23",NJ,"IT Services","1001 to 5000 Employees"
471,"DUO SECURITY INC","Courtnee Smith",duo-security,NULL,471,"2019-10-22 03:22:34","2022-01-11 04:02:23","MI  ","Computer Hardware & Software","501 to 1000 Employees"
472,Dynata,"Gregory Desautels",dynata,NULL,472,"2019-10-22 03:22:34","2022-01-11 06:22:45","CT  ","Advertising & Marketing","1001 to 5000 Employees"
473,"E Trade Financial","Courtnee Smith",NULL,NULL,473,"2019-10-22 03:22:34","2022-01-10 19:05:16",,"Brokerage Services","1001 to 5000 Employees"
476,"Early Warning Services LLC (CCB)","Jim Gorzalski",early-warning-services,NULL,476,"2019-10-22 03:22:34","2022-01-10 19:05:17","AZ  ","Banks & Credit Unions","501 to 1000 Employees"
480,"ECS Financial Services Inc","Jon Buckbee",ecs-financial-services,NULL,480,"2019-10-22 03:22:34","2022-01-10 19:05:18","IL  ",Accounting,"51 to 200 Employees"
481,"Lake County Press Inc.","Jim Gorzalski",NULL,NULL,481,"2019-10-22 03:22:34","2022-01-10 19:05:19","IL  ","Commercial Printing","51 to 200 Employees"
482,"Elliott Benson Market Research","Jim Martin",elliott-benson-research,NULL,482,"2019-10-22 03:22:34","2022-01-10 19:05:19","CA  ","Research & Development","1 to 50 Employees"
483,"EMAILAGE CORPORATION","Jim Gorzalski",emailage,NULL,483,"2019-10-22 03:22:34","2022-01-11 06:22:44",,"Enterprise Software & Network Solutions","51 to 200 Employees"
484,"EMC Corp","Courtnee Smith",emc-publishing-llc,NULL,484,"2019-10-22 03:22:34","2022-01-11 04:02:23","MN  ",NULL,"51 to 200 Employees"
485,"eMoney Advisor, LLC","Jim Martin",emoney-advisor,NULL,485,"2019-10-22 03:22:34","2022-01-11 06:22:44","PA  ","Enterprise Software & Network Solutions",NULL
487,"Endgame, Inc.","Courtnee Smith",endgame-inc,NULL,487,"2019-10-22 03:22:34","2022-01-11 04:02:23",,"Enterprise Software & Network Solutions",NULL
488,"ENGIE Insight f k a Ecova Inc.","Jim Gorzalski",engie-impact,NULL,488,"2019-10-22 03:22:34","2022-01-10 19:05:22",,Energy,NULL
489,"Enigma Technologies Inc.","Jim Martin",enigma-technologies,NULL,489,"2019-10-22 03:22:34","2022-01-11 06:22:44","NY  ","Computer Hardware & Software",NULL
491,Ensighten,"Jim Martin",ensighten,NULL,491,"2019-10-22 03:22:34","2022-01-11 04:02:22","IL  ","Computer Hardware & Software","51 to 200 Employees"
493,"Entrust Datacard Corporation","Jim Gorzalski",datacard-group,NULL,493,"2019-10-22 03:22:34","2022-01-11 06:22:44","MN  ","Computer Hardware & Software","1001 to 5000 Employees"
494,"Envestnet Asset Management, Inc","Jim Gorzalski",NULL,NULL,494,"2019-10-22 03:22:34","2022-01-10 19:05:24",IL,"Investment Banking & Asset Management","1001 to 5000 Employees"
496,"ENVIRONMENTAL DATA RESOURCES LLC","Jim Martin",environmental-data-resources,NULL,496,"2019-10-22 03:22:34","2022-01-11 04:02:22","CT  ","Enterprise Software & Network Solutions","201 to 500 Employees"
497,"Equifax - UK","Lucy-Marie Hagues",NULL,NULL,497,"2019-10-22 03:22:34","2022-01-10 19:05:26",,"Financial Analytics & Research","10000+ Employees"
498,"Equifax Inc.","Jim Martin",equifax,EFX,498,"2019-10-22 03:22:34","2022-01-11 06:22:44","GA  ","Financial Analytics & Research","10000+ Employees"
499,"Equinix - UK","Robert Harding",NULL,NULL,499,"2019-10-22 03:22:34","2022-01-10 19:05:27",BERK,"Enterprise Software & Network Solutions","5001 to 10000 Employees"
501,"Ethoca Technologies Inc.","Jim Martin",ethoca,NULL,501,"2019-10-22 03:22:34","2022-01-10 19:05:27",,"Financial Transaction Processing","51 to 200 Employees"
502,"ZOOMINFO TECHNOLOGIES LLC","Jim Martin",everstring,NULL,502,"2019-10-22 03:22:34","2022-01-10 19:05:28",,"Enterprise Software & Network Solutions","51 to 200 Employees"
503,"Exactbid LLC","Jim Martin",exactbid,NULL,503,"2019-10-22 03:22:34","2022-01-11 04:02:22","CA  ","Enterprise Software & Network Solutions","51 to 200 Employees"
504,"Exela Enterprise Solutions, Inc.","Jim Gorzalski",NULL,XELA,504,"2019-10-22 03:22:34","2022-01-10 19:05:29",CT,"IT Services","10000+ Employees"
505,"Expensify, Inc.","Jim Martin",expensify-com,EXFY,505,"2019-10-22 03:22:34","2022-01-11 06:22:44","CA  ","Financial Transaction Processing","51 to 200 Employees"
506,Experian,"Jim Martin",experian,EXPN,506,"2019-10-22 03:22:34","2022-01-11 03:59:16",,"Financial Analytics & Research",NULL
507,"Experian - UK","Lucy-Marie Hagues",NULL,NULL,507,"2019-10-22 03:22:34","2022-01-10 19:05:30",,"Financial Analytics & Research","10000+ Employees"
509,"F5 NETWORKS INC","Courtnee Smith",f5-networks,FFIV,509,"2019-10-22 03:22:34","2022-01-11 06:22:43",,"Computer Hardware & Software","5001 to 10000 Employees"
510,"Facebook - UK","Lucy-Marie Hagues",NULL,NULL,510,"2019-10-22 03:22:34","2022-01-10 19:05:31",,Internet,"10000+ Employees"
511,"Facebook, Inc.","Jim Martin",facebook,FB,511,"2019-10-22 03:22:34","2022-01-11 04:02:28","CA  ",Internet,"10000+ Employees"
512,"Factual Data","Courtnee Smith",factual-data,FDCC,512,"2019-10-22 03:22:34","2022-01-11 06:22:43","CO  ","Financial Transaction Processing","201 to 500 Employees"
513,"Fair Isaac","Courtnee Smith",fair-isaac-corporation,FICO,513,"2019-10-22 03:22:34","2022-01-10 19:05:33","CA  ",NULL,"51 to 200 Employees"
514,"FAIR ISAAC - UK","Robert Harding",NULL,NULL,514,"2019-10-22 03:22:34","2022-01-10 19:05:33","W MI","Computer Hardware & Software",NULL
515,"Fairstone Financial Inc.","Patrick Ens",financial-services-d6e0,NULL,515,"2019-10-22 03:22:34","2022-01-10 19:05:34","ON  ",Lending,"1001 to 5000 Employees"
516,"FDM Group Limited - UK","Joseph Soule",fdm-group,FDM,516,"2019-10-22 03:22:34","2022-01-10 19:05:34",,"IT Services","5001 to 10000 Employees"
517,"FedEx Office","Jim Gorzalski",NULL,NULL,517,"2019-10-22 03:22:34","2022-01-10 19:05:35","MD  ","Business Service Centers & Copy Shops","10000+ Employees"
518,"FEEDZAI INC","Jim Gorzalski",feedzai,NULL,518,"2019-10-22 03:22:34","2022-01-11 03:55:17",CA,"Computer Hardware & Software","201 to 500 Employees"
520,"Fidelity Information Services (Debit Services)","Jim Gorzalski",fis,FIS,520,"2019-10-22 03:22:34","2022-01-10 19:05:36",,"Investment Banking & Asset Management","10000+ Employees"
523,"Fieldwork, Inc","Jim Martin",fieldwork-inc,NULL,523,"2019-10-22 03:22:34","2022-01-11 06:22:43",,"Advertising & Marketing","501 to 1000 Employees"
524,"Figma, Inc.","Jim Martin",figma,NULL,524,"2019-10-22 03:22:34","2022-01-11 03:55:17",,"Computer Hardware & Software","201 to 500 Employees"
526,"Finastra Technology, Inc.","Courtnee Smith",NULL,NULL,526,"2019-10-22 03:22:34","2022-01-10 19:05:39","NY  ","Financial Transaction Processing","10000+ Employees"
527,"Finastra USA Corporation","Courtnee Smith",NULL,NULL,527,"2019-10-22 03:22:34","2022-01-10 19:05:39",,"Financial Transaction Processing","10000+ Employees"
528,"FINICITY CORPORATION","Jim Martin",finicity,NULL,528,"2019-10-22 03:22:34","2022-01-11 06:22:43",,"Financial Analytics & Research","201 to 500 Employees"
529,FIREEYE,"Courtnee Smith",mandiant,NULL,529,"2019-10-22 03:22:34","2022-01-11 03:55:17","CA  ","Computer Hardware & Software","1001 to 5000 Employees"
530,"Fireking Commercial Services, LLC","Jon Buckbee",fki-security-group,NULL,530,"2019-10-22 03:22:34","2022-01-10 19:05:41","IN  ","Other Retail Stores","201 to 500 Employees"
531,"FIRST ADVANTAGE BACKGROUND SERVICES CORP","Courtnee Smith",NULL,NULL,531,"2019-10-22 03:22:34","2022-01-10 19:05:41","GA  ","Staffing & Outsourcing","1001 to 5000 Employees"
532,"First Data Resources","Jim Martin",first-data-resources,NULL,532,"2019-10-22 03:22:34","2022-01-11 03:55:16","NE  ","Financial Transaction Processing",NULL
533,"Firstsource Advantage","Jim Martin",firstsource-advantage,NULL,533,"2019-10-22 03:22:34","2022-01-10 19:05:42","NY  ","Staffing & Outsourcing","1001 to 5000 Employees"
534,"Firstsource Advantage (COAF)","Jim Gorzalski",firstsource-advantage,NULL,534,"2019-10-22 03:22:34","2022-01-10 19:05:42","NY  ","Staffing & Outsourcing","1001 to 5000 Employees"
535,"FITCH (Investor Relations)","Courtnee Smith",fitch-ratings,NULL,535,"2019-10-22 03:22:34","2022-01-10 19:05:43","OH  ","Advertising & Marketing","501 to 1000 Employees"
536,"FOCUSVISION WORLDWIDE","Jim Martin",focusvision,NULL,536,"2019-10-22 03:22:34","2022-01-10 19:05:43","CT  ","Advertising & Marketing","201 to 500 Employees"
537,"Focusvision Worldwide - UK","Lucy-Marie Hagues",NULL,NULL,537,"2019-10-22 03:22:34","2022-01-10 19:05:44",CT,"Advertising & Marketing","201 to 500 Employees"
538,"Fooji, Inc.","Marc Mentry",fooji,NULL,538,"2019-10-22 03:22:34","2022-01-11 06:22:43",,Internet,"51 to 200 Employees"
539,"ForeScout Technologies, Inc.","Courtnee Smith",forescout,FSCT,539,"2019-10-22 03:22:34","2022-01-11 03:55:16",,"Computer Hardware & Software","1001 to 5000 Employees"
540,FORGEROCK,"Courtnee Smith",NULL,NULL,540,"2019-10-22 03:22:34","2022-01-10 19:05:45","CA  ","Enterprise Software & Network Solutions","501 to 1000 Employees"
541,"Formagrid, Inc.,  dba Airtable","Jim Martin",airtable,NULL,541,"2019-10-22 03:22:34","2022-01-10 19:05:46",,"Enterprise Software & Network Solutions","51 to 200 Employees"
542,"Formisimo Ltd - UK","Jeremy Penzer",formisimo,NULL,542,"2019-10-22 03:22:34","2022-01-10 19:05:46",,"Computer Hardware & Software","1 to 50 Employees"
543,"Four Winds Interactive, LLC","Courtnee Smith",four-winds-interactive,NULL,543,"2019-10-22 03:22:34","2022-01-11 03:55:16","CO  ","Computer Hardware & Software","201 to 500 Employees"
545,Fragomen,"Courtnee Smith",NULL,NULL,545,"2019-10-22 03:22:34","2022-01-10 19:05:47",,Legal,"1001 to 5000 Employees"
546,"Fragomen - UK","Michael Lynch",NULL,NULL,546,"2019-10-22 03:22:34","2022-01-10 19:05:48",,Legal,"1001 to 5000 Employees"
548,"FRONTIER COMMUNICATIONS CORPORATION","Courtnee Smith",frontier-communications-corporation,FTR,548,"2019-10-22 03:22:34","2022-01-11 03:55:16","CT  ","Cable, Internet & Telephone Providers","10000+ Employees"
549,"FTI Consulting, Inc. (Unitranche)","Jon Buckbee",fti-consulting,FCN,549,"2019-10-22 03:22:34","2022-01-10 19:05:49","DC  ",Consulting,"5001 to 10000 Employees"
550,"FX ALL","Courtnee Smith",fx-alliance,FX,550,"2019-10-22 03:22:34","2022-01-11 06:22:43","NY  ","Brokerage Services","201 to 500 Employees"
551,"Gallup, Inc.","Courtnee Smith",gallup,NULL,551,"2019-10-22 03:22:34","2022-01-11 03:55:16","DC  ",Consulting,"501 to 1000 Employees"
552,"Galvanize, Inc.","Courtnee Smith",galvanizeu,NULL,552,"2019-10-22 03:22:34","2022-01-11 06:22:42",CO,"Education Training Services","201 to 500 Employees"
553,"GAMELEARN S.L.","Courtnee Smith",gamelearn,NULL,553,"2019-10-22 03:22:34","2022-01-10 19:05:51",,NULL,"51 to 200 Employees"
554,"Garda CL Atlantic, Inc.","Jim Gorzalski",NULL,NULL,554,"2019-10-22 03:22:34","2022-01-10 19:05:52","GA  ","Security Services","10000+ Employees"
555,"Garnet Capital Advisors","Jim Martin",NULL,NULL,555,"2019-10-22 03:22:34","2022-01-10 19:05:52","NY  ","Advertising & Marketing","1 to 50 Employees"
557,"GDS Link","Courtnee Smith",gds-link,NULL,557,"2019-10-22 03:22:34","2022-01-11 06:22:42",TX,Lending,"51 to 200 Employees"
558,"THALES DIS USA INC.","Jim Martin",gemalto,GMT,558,"2019-10-22 03:22:34","2022-01-11 03:54:52",,"Computer Hardware & Software","10000+ Employees"
559,"GENERAL ASSEMBLY","Courtnee Smith",general-assembly,NULL,559,"2019-10-22 03:22:34","2022-01-11 06:22:42",NY,"Education Training Services","501 to 1000 Employees"
560,"General Motors","Jim Martin",general-motors,GM,560,"2019-10-22 03:22:34","2022-01-11 03:51:03",,"Transportation Equipment Manufacturing","10000+ Employees"
561,"Genpact UK Limited","Courtnee Smith",NULL,NULL,561,"2019-10-22 03:22:34","2022-01-10 19:05:55",,"IT Services","10000+ Employees"
562,"Georgetown University","Courtnee Smith",georgetown-university,NULL,562,"2019-10-22 03:22:34","2022-01-11 06:22:42","DC  ","Colleges & Universities","5001 to 10000 Employees"
563,"Giesecke and Devrient America (Bank)","Jim Gorzalski",NULL,NULL,563,"2019-10-22 03:22:34","2022-01-10 19:05:56","OR  ",NULL,Unknown
564,"Github Enterprises","Courtnee Smith",github,NULL,564,"2019-10-22 03:22:34","2022-01-11 03:48:32","CA  ",Internet,"1001 to 5000 Employees"
565,"Glassbox US, Inc.","Jim Martin",NULL,NULL,565,"2019-10-22 03:22:34","2022-01-10 19:05:57","NY  ","Enterprise Software & Network Solutions","51 to 200 Employees"
566,"GLASSER & GLASSER, P.L.C.","Jim Martin",NULL,NULL,566,"2019-10-22 03:22:34","2022-01-10 19:05:57","VA  ",NULL,"201 to 500 Employees"
569,"Global Payments - UK","Robert Harding",global-payments,GPN,569,"2019-10-22 03:22:34","2022-01-10 19:05:59","GA  ","Financial Transaction Processing","10000+ Employees"
570,"Global Relay","Courtnee Smith",global-relay,NULL,570,"2019-10-22 03:22:34","2022-01-11 03:47:34","BC  ","Computer Hardware & Software","501 to 1000 Employees"
571,"Globe Telecom","Courtnee Smith",globe-telecom,GTMEY,571,"2019-10-22 03:22:35","2022-01-11 06:22:42",,Internet,"5001 to 10000 Employees"
572,"Glory (Talaris, Inc.)","Jim Gorzalski",NULL,NULL,572,"2019-10-22 03:22:35","2022-01-10 19:06:00",,"Electrical & Electronic Manufacturing","5001 to 10000 Employees"
573,"Google - UK","Lucy-Marie Hagues",google-ireland,NULL,573,"2019-10-22 03:22:35","2022-01-10 19:06:01",,Internet,"10000+ Employees"
574,"GOOGLE CLOUD PLATFORM","Courtnee Smith",google,GOOG,574,"2019-10-22 03:22:35","2022-01-10 19:06:03",,NULL,Unknown
576,"Google Inc.","Jim Martin",google,GOOG,576,"2019-10-22 03:22:35","2022-01-10 19:28:02",CA,Internet,"10000+ Employees"
577,"GRAYHAIR SOFTWARE INC","Jim Martin",grayhair,NULL,577,"2019-10-22 03:22:35","2022-01-10 19:06:04","CT  ","Enterprise Software & Network Solutions","51 to 200 Employees"
579,"GuideVision UK Ltd","Courtnee Smith",NULL,NULL,579,"2019-10-22 03:22:35","2022-01-10 19:06:05",,"Enterprise Software & Network Solutions","51 to 200 Employees"
580,"Gurstel Law Firm, P.C.","Jim Martin",gurstel-chargo,NULL,580,"2019-10-22 03:22:35","2022-01-10 19:06:06","MN  ",Legal,"201 to 500 Employees"
581,"H2O.ai (OxData)","Jim Martin",h2o-2,NULL,581,"2019-10-22 03:22:35","2022-01-10 19:06:06","CA  ","Enterprise Software & Network Solutions","201 to 500 Employees"
582,HackerRank,"Courtnee Smith",hackerrank,NULL,582,"2019-10-22 03:22:35","2022-01-11 03:47:34",,"IT Services","201 to 500 Employees"
584,"Hancock Whitney","Jon Buckbee",hancock-whitney,NULL,584,"2019-10-22 03:22:35","2022-01-11 06:22:42","MS  ","Banks & Credit Unions","1001 to 5000 Employees"
586,"Harland Clarke (formerly Clarke American)","Jim Gorzalski",harland-clarke-holdings,NULL,586,"2019-10-22 03:22:35","2022-01-10 19:06:09","TX  ","Advertising & Marketing","5001 to 10000 Employees"
587,"Harris Insights & Analytics","Jim Martin",NULL,NULL,587,"2019-10-22 03:22:35","2022-01-10 19:06:09","IL  ","Advertising & Marketing","501 to 1000 Employees"
588,"Hartford Life and Accidental Insurance Company","Courtnee Smith",the-hartford,HIG,588,"2019-10-22 03:22:35","2022-01-10 19:06:10",,"Insurance Operator","10000+ Employees"
589,"HashiCorp, Inc.","Courtnee Smith",hashicorp,HCP,589,"2019-10-22 03:22:35","2022-01-11 06:20:16","CA  ","Enterprise Software & Network Solutions","1001 to 5000 Employees"
590,Hawkeye,"Marc Mentry",NULL,NULL,590,"2019-10-22 03:22:35","2022-01-10 19:06:11","TX  ","Advertising & Marketing","51 to 200 Employees"
592,Hazelcast,"Courtnee Smith",hazelcast,NULL,592,"2019-10-22 03:22:35","2022-01-11 06:20:16",,"Computer Hardware & Software","51 to 200 Employees"
593,"Helzberg Diamonds","Jim Martin",helzberg-diamonds,NULL,593,"2019-10-22 03:22:35","2022-01-11 03:47:33",MO,"Beauty & Personal Accessories Stores","1001 to 5000 Employees"
594,"Hewlett Packard (HP) - UK","Robert Harding",NULL,NULL,594,"2019-10-22 03:22:35","2022-01-10 19:06:13",NULL,"Enterprise Software & Network Solutions","10000+ Employees"
595,"Hillard Heintze, LLC","Jim Gorzalski",hillard-heintze,NULL,595,"2019-10-22 03:22:35","2022-01-11 06:20:16",IL,"Security Services","51 to 200 Employees"
596,"Hogan Assessment Systems, Inc.","Courtnee Smith",NULL,NULL,596,"2019-10-22 03:22:35","2022-01-10 19:06:14",,Consulting,"51 to 200 Employees"
597,"Hoist Finance - UK",NULL,NULL,NULL,597,"2019-10-22 03:22:35","2022-01-10 19:06:14",LANC,"Banks & Credit Unions","1001 to 5000 Employees"
601,"HSBC - UK","Robert Harding",NULL,NULL,601,"2019-10-22 03:22:35","2022-01-10 19:06:15",,"Banks & Credit Unions","10000+ Employees"
602,Hubspot,"Courtnee Smith",hubspot,HUBS,602,"2019-10-22 03:22:35","2022-01-11 06:17:12","MA  ","Computer Hardware & Software","1001 to 5000 Employees"
603,"Saks Fifth Avenue (formerly HBC (US and CDN))","Jim Martin",hudson-s-bay,HBC,603,"2019-10-22 03:22:35","2022-01-10 19:06:16","ON  ","Department, Clothing, & Shoe Stores","10000+ Employees"
604,"HUNT & HENRIQUES","Jim Martin",hunt-henriques,NULL,604,"2019-10-22 03:22:35","2022-01-10 19:06:17","CA  ",Legal,"1 to 50 Employees"
605,"IBM (Truven)","Courtnee Smith",truven-health-analytics,NULL,605,"2019-10-22 03:22:35","2022-01-10 19:06:17",TN,"IT Services","10000+ Employees"
606,"IBM United Kingdom Ltd - UK","Robert Harding",NULL,NULL,606,"2019-10-22 03:22:35","2022-01-10 19:06:18",HANT,"IT Services","10000+ Employees"
608,"ICS Corporation","Jim Gorzalski",ics,NULL,608,"2019-10-22 03:22:35","2022-01-11 03:44:24","PA  ","Home Centers & Hardware Stores","51 to 200 Employees"
609,"ID Analytics","Jim Martin",id-analytics,NULL,609,"2019-10-22 03:22:35","2022-01-11 06:17:12","CA  ","Enterprise Software & Network Solutions","51 to 200 Employees"
610,"IDEMIA UK LIMITED - UK","Robert Harding",NULL,NULL,610,"2019-10-22 03:22:35","2022-01-10 19:06:20",GLOS,"Enterprise Software & Network Solutions","10000+ Employees"
611,"PERFORM CB LLC","Jim Martin",ignite-opm,NULL,611,"2019-10-22 03:22:35","2022-01-10 19:06:20",,"Advertising & Marketing","51 to 200 Employees"
612,"iGrafx, LLC","Courtnee Smith",igrafx,NULL,612,"2019-10-22 03:22:35","2022-01-11 03:37:07","OR  ","Computer Hardware & Software","51 to 200 Employees"
613,"IMImobile - UK","Robert Harding",imimobile,IMO,613,"2019-10-22 03:22:35","2022-01-10 19:06:21",,"IT Services",NULL
614,"Impact Tech, Inc.","Jim Martin",impact-martech,NULL,614,"2019-10-22 03:22:35","2022-01-10 19:06:22","OH  ","Advertising & Marketing",NULL
615,Imperva,"Courtnee Smith",imperva,NULL,615,"2019-10-22 03:22:35","2022-01-11 06:17:12","CA  ","Computer Hardware & Software",NULL
616,"Imply Data, Inc.","Courtnee Smith",imply-data,NULL,616,"2019-10-22 03:22:35","2022-01-10 19:06:23",CA,"Computer Hardware & Software","51 to 200 Employees"
617,"ACCERTIFY Inc. (fka InAuth)","Courtnee Smith",inauth,NULL,617,"2019-10-22 03:22:35","2022-01-11 03:37:07",,"Enterprise Software & Network Solutions","51 to 200 Employees"
618,"InfluxData Inc.","Courtnee Smith",influxdb,NULL,618,"2019-10-22 03:22:35","2022-01-11 06:17:12",,"Computer Hardware & Software","51 to 200 Employees"
619,Infoblox,"Courtnee Smith",infoblox,BLOX,619,"2019-10-22 03:22:35","2022-01-11 03:37:07","CA  ","Enterprise Software & Network Solutions","1001 to 5000 Employees"
620,"Infor (fka Epiphany)","Courtnee Smith",infor,NULL,620,"2019-10-22 03:22:35","2022-01-10 19:06:24","GA  ","Computer Hardware & Software","10000+ Employees"
621,"Infosys BPO Limited - UK","Robert Harding",NULL,NULL,621,"2019-10-22 03:22:35","2022-01-10 19:06:25","DE  ","IT Services","10000+ Employees"
624,INNOVIS,"Jim Gorzalski",NULL,NULL,624,"2019-10-22 03:22:35","2022-01-10 19:06:26",,"Advertising & Marketing","201 to 500 Employees"
627,"Intel 471 Inc.","Courtnee Smith",intel-471,NULL,627,"2019-10-22 03:22:35","2022-01-11 03:37:07",,"Enterprise Software & Network Solutions","51 to 200 Employees"
630,"Intralinks, Inc.","Courtnee Smith",intralinks,IL,630,"2019-10-22 03:22:35","2022-01-11 06:17:11","NY  ","Computer Hardware & Software","501 to 1000 Employees"
631,Intuit,"Jim Martin",intuit,INTU,631,"2019-10-22 03:22:35","2022-01-11 03:34:20",,"Computer Hardware & Software","5001 to 10000 Employees"
633,"INVISION APP INC","Courtnee Smith",invisionapp,NULL,633,"2019-10-22 03:22:35","2022-01-10 19:06:31","NY  ",Internet,"501 to 1000 Employees"
634,IPC,"Courtnee Smith",NULL,NULL,634,"2019-10-22 03:22:35","2022-01-10 19:06:31","NY  ","IT Service","1001 to 5000 Employees"
635,"Ipsos - UK","Lucy-Marie Hagues",ipsos-mori,NULL,635,"2019-10-22 03:22:35","2022-01-10 19:06:32",,Consulting,NULL
636,"iQor - (COEP) - UK","Robert Harding",iqor,NULL,636,"2019-10-22 03:22:35","2022-01-10 19:06:32",,"Staffing & Outsourcing","10000+ Employees"
637,"Iron Mountain","Jim Gorzalski",iron-mountain-intellectual-property-management,NULL,637,"2019-10-22 03:22:35","2022-01-11 06:17:11",,"IT Services",NULL
638,"Isis Papyrus - UK","Robert Harding",NULL,NULL,638,"2019-10-22 03:22:35","2022-01-10 19:06:33",BERK,"Computer Hardware & Software",NULL
639,"IXI Corporation","Gregory Desautels",ixi,NULL,639,"2019-10-22 03:22:35","2022-01-11 03:33:22",VA,"IT Services",NULL
640,"JABIL CIRCUIT INC","Jim Gorzalski",NULL,NULL,640,"2019-10-22 03:22:35","2022-01-10 19:06:34","FL  ","Electrical & Electronic Manufacturing",NULL
642,"JIVE SOFTWARE","Courtnee Smith",jive-software,JIVE,642,"2019-10-22 03:22:35","2022-01-11 06:17:11","TX  ","Enterprise Software & Network Solutions",NULL
643,"Johnson and Silver","Jim Gorzalski",NULL,NULL,643,"2019-10-22 03:22:35","2022-01-10 19:06:35",,NULL,"1 to 50 Employees"
644,"JONES LANG LASALLE - Network Management","Jim Gorzalski",NULL,NULL,644,"2019-10-22 03:22:35","2022-01-10 19:06:35","IL  ",NULL,Unknown
645,"JP Morgan Chase","Atma Iyer",NULL,NULL,645,"2019-10-22 03:22:35","2022-01-10 19:06:36","ON  ","Investment Banking & Asset Management","10000+ Employees"
646,"Kaligo Travel Solutions","Jim Martin",NULL,NULL,646,"2019-10-22 03:22:35","2022-01-10 19:06:36",,NULL,"1 to 50 Employees"
649,"KENNA SECURITY INC","Courtnee Smith",risk-io,NULL,649,"2019-10-22 03:22:35","2022-01-11 06:17:11",CA,"Enterprise Software & Network Solutions","51 to 200 Employees"
650,Kenshoo,"Jim Martin",kenshoo,NULL,650,"2019-10-22 03:22:35","2022-01-11 03:33:22",,Internet,"501 to 1000 Employees"
652,"Kickbox, Inc.","Kenneth Dodelin",kickbox,NULL,652,"2019-10-22 03:22:35","2022-01-11 06:17:11","TX  ",Internet,"1 to 50 Employees"
653,KOCHAVA,"Jim Martin",kochava,NULL,653,"2019-10-22 03:22:35","2022-01-11 03:33:22",,"Advertising & Marketing","51 to 200 Employees"
654,"Kofax Inc.","Courtnee Smith",kofax,KFX,654,"2019-10-22 03:22:35","2022-01-11 06:17:11","CA  ","Computer Hardware & Software","1001 to 5000 Employees"
655,"Korn Ferry","Courtnee Smith",korn-ferry-international,KFY,655,"2019-10-22 03:22:35","2022-01-11 03:29:53","CA  ",Consulting,"5001 to 10000 Employees"
656,"KPMG Consulting - Preferred Supplier Pool (PSP)","Jon Buckbee",NULL,NULL,656,"2019-10-22 03:22:35","2022-01-10 19:06:41",,Consulting,"10000+ Employees"
657,"Launch Labs, Inc. dba Axiom Zen","Courtnee Smith",axiom-zen,NULL,657,"2019-10-22 03:22:35","2022-01-10 19:06:41",BC,"Computer Hardware & Software","51 to 200 Employees"
658,"KLDiscovery Ontrack","Jim Martin",kldiscovery,NULL,658,"2019-10-22 03:22:35","2022-01-11 06:17:10",,"IT Services","1001 to 5000 Employees"
659,LEANKIT,"Jim Martin",leankit,NULL,659,"2019-10-22 03:22:35","2022-01-11 03:09:53",TX,"Enterprise Software & Network Solutions","51 to 200 Employees"
660,"Learning as Leadership","Courtnee Smith",NULL,NULL,660,"2019-10-22 03:22:35","2022-01-10 19:06:43",,Consulting,"1 to 50 Employees"
661,"ANAQUA INC.","Jim Martin",lecorpio,NULL,661,"2019-10-22 03:22:35","2022-01-11 03:09:53",,"Computer Hardware & Software","1 to 50 Employees"
662,"Lee Hecht Harrison","Courtnee Smith",lee-hecht-harrison,NULL,662,"2019-10-22 03:22:35","2022-01-11 06:17:10","FL  ",Consulting,"1001 to 5000 Employees"
